2024-08-04 09:57:31
00:00
28,8690000000000000 29,0961811890994200
29,1330000000000100 28,4932867564440900
29,8210000000000000 28,8623916857711500
30,7160000000000000 27,5320075845024840
30,9180000000000100 31,0501991846815100
31,0500000000000000 26,3816502788259900
26,5320000000000000 25,9217142455093460
27,0760000000000000 25,3188198128540200
27,4200000000000000 25,6879247421810800
27,6970000000000000 24,3575406409124000
28,0700000000000000 27,8757322410914400
28,2610000000000000 23,2071833352359140
26,9240000000000000 26,3646952457862400
27,0370000000000000 25,7618008131309100
27,3320000000000000 26,1309057424579900
27,6800000000000000 24,8005216411892900
27,8350000000000000 28,3187132413683360
28,3850000000000000 23,6501643355128200
29,3490000000000000 30,6679143656503000
28,4330000000000030 30,0650199329949570
30,0270000000000000 30,4341248623220470
30,3530000000000000 29,1037407610533630
30,7490000000000000 32,6219323612323900
30,9510000000000000 27,9533834553768730
29,1680000000000100 30,2118038244269260
29,6220000000000000 29,6089093917716000
30,0030000000000000 29,9780143210986870
30,3120000000000000 28,6476302198299900
30,9440000000000100 32,1658218200090300
31,2240000000000000 27,4972729141535020
28,8910000000000000 30,6304013900265600
28,9090000000000000 30,0275069573712340
29,4740000000000000 30,3966118866982950
30,0550000000000000 29,0662277854296100
30,3760000000000000 32,5844193856086300
30,5830000000000000 27,9158704797531140
28,4380000000000000 30,2893742826199780
28,6830000000000030 29,6864798499646620
28,9680000000000040 30,0555847792917350
29,8400000000000000 28,7252006780230540
29,8730000000000000 32,2433922782020800
30,2410000000000000 27,5748433723465670
27,7920000000000000 28,5469031910762680
27,8680000000000000 27,9440087584209420
28,5420000000000000 28,3131136877480100
29,1690000000000000 26,9827295864793370
29,4140000000000000 30,5009211866583670
29,3540000000000000 25,8323722808028440
24,5130000000000000 24,8993354900648000
25,0130000000000000 24,2964410574094700
25,3960000000000000 24,6655459867365400
25,7570000000000000 23,3351618854678700
26,1450000000000000 26,8533534856468920
26,2930000000000100 22,1848045797913800
25,5010000000000000 25,4235053915093660
25,8520000000000000 24,8206109588540330
25,8300000000000000 25,1897158881811000
26,5560000000000000 23,8593317869124140
26,5580000000000030 27,3775233870914470
26,5860000000000000 22,7089744812359380
28,1050000000000000 29,5332744135294900
28,5690000000000100 28,9303799808741500
28,6680000000000100 29,2994849102012370
29,2580000000000100 27,9691008089325560
29,3720000000000000 31,4872924091115860
29,7250000000000000 26,8187435032560600
28,6640000000000000 29,8148803076072700
29,0190000000000000 29,2119858749519460
29,4180000000000100 29,5810908042790320
29,9420000000000000 28,2507067030103500
30,0330000000000000 31,7688983031893800
30,3460000000000000 27,1003493973338650
28,8480000000000100 31,3671154932145160
29,1190000000000000 30,7642210605591980
29,4180000000000100 31,1333259898862770
30,0460000000000000 29,8029418886175850
30,2480000000000000 33,3211334887966260
30,5710000000000000 28,6525845829411000
28,4420000000000000 30,7544563831359420
29,3560000000000000 30,1515619504806020
29,4350000000000000 30,5206668798076740
30,1890000000000000 29,1902827785389930
30,5420000000000000 32,7084743787180200
30,8690000000000000 28,0399254728625140
28,4970000000000000 28,9097474160477600
28,7080000000000000 28,3068529833924200
29,3540000000000000 28,6759579127195000
29,6060000000000000 27,3455738114508260
29,7570000000000000 30,8637654116298560
30,0570000000000000 26,1952165057743330
26,1630000000000000 25,5037417543129050
26,2460000000000000 24,9008473216575600
26,7110000000000000 25,2699522509846340
27,3840000000000000 23,9395681497159560
27,4550000000000000 27,4577597498949860
27,5450000000000000 22,7892108440394770
26,3460000000000000 26,1892871259795750
26,5840000000000000 25,5863926933242500
26,9380000000000000 25,9554976226513330
27,1720000000000000 24,6251135213826270
27,3560000000000000 28,1433051215616740
27,6800000000000000 23,4747562157061720
29,3920000000000000 31,0758635357149370
29,8520000000000000 30,4729691030596040
30,2370000000000000 30,8420740323866770
30,5040000000000000 29,5116899311179920
30,8150000000000000 33,0298815312970150
30,7340000000000000 28,3613326254415020
28,8540000000000000 30,2188201492191870
29,6560000000000000 29,6159257165638580
29,9740000000000000 29,9850306458909340
30,2880000000000000 28,6546465446222530
30,8010000000000000 32,1728381448012800
30,6050000000000000 27,5042892389457660
28,3260000000000000 30,5652498026697970
28,5510000000000000 29,9623553700144700
29,1920000000000000 30,3314602993415500
29,7040000000000000 29,0010761980728600
29,8030000000000000 32,5192677982518800
29,7030000000000100 27,8507188923963620
28,0270000000000000 29,9796536596470770
28,0780000000000100 29,3767592269917660
28,9400000000000000 29,7458641563188340
29,4030000000000000 28,4154800550501400
29,4200000000000000 31,9336716552291760
29,8390000000000000 27,2651227493736530
27,7220000000000000 28,4586979651163500
28,3640000000000000 27,8558035324610170
28,7490000000000000 28,2249084617880900
29,0770000000000000 26,8945243605194050
29,3270000000000000 30,4127159606984280
29,6300000000000000 25,7441670548429260
25,8450000000000000 25,1940211313399900
25,9330000000000030 24,5911266986846600
26,4970000000000000 24,9602316280117340
26,9170000000000000 23,6298475267430630
27,4440000000000100 27,1480391269220860
27,8900000000000000 22,4794902210665700
25,9600000000000000 25,4906616430924800
26,5310000000000000 24,8877672104371540
26,9350000000000000 25,2568721397642340
27,0590000000000000 23,9264880384955420
27,5060000000000000 27,4446796386745800
27,6240000000000000 22,7761307328190630
28,5410000000000000 30,2158625826056950
28,9000000000000000 29,6129681499503600
29,3510000000000000 29,9820730792774500
29,4290000000000000 28,6516889780087670
29,7400000000000000 32,1698805781877940
29,8150000000000000 27,5013316723322630
27,8310000000000000 29,6545071694983270
28,5220000000000000 29,0516127368430050
29,0030000000000000 29,4207176661700700
29,4020000000000000 28,0903335649013820
29,5680000000000000 31,6085251650804330
29,8480000000000100 26,9399762592249130
28,0040000000000000 30,8459027943604520
28,4720000000000000 30,2430083617051260
29,1550000000000000 30,6121132910321950
29,6330000000000100 29,2817291897635070
29,7770000000000000 32,7999207899425400
30,0370000000000000 28,1313718840870300
28,2990000000000000 30,6602371644969270
28,6420000000000000 30,0573427318416000
29,3010000000000000 30,4264476611686700
29,6260000000000000 29,0960635598999920
29,8810000000000000 32,6142551600790100
30,3690000000000000 27,9457062542235100
27,5960000000000000 27,7811214566060370
28,1090000000000000 27,1782270239507100
28,2900000000000000 27,5473319532777730
28,8960000000000000 26,2169478520091060
29,1500000000000000 29,7351394521881250
28,3300000000000000 25,0665905463326160
24,4610000000000000 23,8879823878652600
24,7980000000000000 23,2850879552099400
24,9900000000000000 23,6541928845370070
25,6730000000000000 22,3238087832683260
25,7880000000000000 25,8420003834473460
26,8870000000000000 21,1734514775918430
25,6430000000000000 25,4245077236225330
26,0210000000000000 24,8216132909672100
26,4680000000000040 25,1907182202942900
26,4000000000000000 23,8603341190256050
26,8330000000000000 27,3785257192046350
27,1750000000000000 22,7099768133491200
28,3960000000000000 29,8049064162015260
28,3350000000000000 29,2020119835461800
28,8890000000000000 29,5711169128732600
29,5310000000000000 28,2407328116045800
29,8130000000000000 31,7589244117836070
29,8410000000000000 27,0903755059280830
27,9090000000000000 29,0501009052502400
28,6230000000000000 28,4472064725949250
28,8530000000000000 28,8163114019219720
29,4380000000000000 27,4859273006532900
29,3170000000000000 31,0041189008323280
30,0080000000000100 26,3355699949768050
27,6770000000000000 30,0670907424188730
27,8330000000000000 29,4641963097635580
27,9650000000000000 29,8333012390906230
28,8010000000000000 28,5029171378219280
28,9620000000000000 32,0211087380009700
29,5090000000000000 27,3525598321454560
