Results for 00:00
28,8690000000000000,29,0964627875423100
29,1330000000000100,29,8590716639305920
29,8210000000000000,30,7052748761319340
30,7160000000000000,30,4040289378794170
30,9180000000000100,28,6691101523488300
31,0500000000000000,29,5178341415582680
26,5320000000000000,27,7999993436622330
27,0760000000000000,28,5626082200505400
27,4200000000000000,29,4088114322518630
27,6970000000000000,29,1075654939993420
28,0700000000000000,27,3726467084687640
28,2610000000000000,28,2213706976782000
26,9240000000000000,28,4606336110984660
27,0370000000000000,29,2232424874867650
27,3320000000000000,30,0694456996881030
27,6800000000000000,29,7681997614355860
27,8350000000000000,28,0332809759049870
28,3850000000000000,28,8820049651144260
29,3490000000000000,29,8377014410578670
28,4330000000000030,30,6003103174461600
30,0270000000000000,31,4465135296475040
30,3530000000000000,31,1452675913949900
30,7490000000000000,29,4103488058643900
30,9510000000000000,30,2590727950738340
29,1680000000000100,29,4634305442085600
29,6220000000000000,30,2260394205968600
30,0030000000000000,31,0722426327982000
30,3120000000000000,30,7709966945456800
30,9440000000000100,29,0360779090150880
31,2240000000000000,29,8848018982245300
28,8910000000000000,28,2660292262964700
28,9090000000000000,29,0286381026847500
29,4740000000000000,29,8748413148860940
30,0550000000000000,29,5735953766335880
30,3760000000000000,27,8386765911029920
30,5830000000000000,28,6874005803124400
28,4380000000000000,28,1314809829117900
28,6830000000000030,28,8940898593000670
28,9680000000000040,29,7402930715014230
29,8400000000000000,29,4390471332489060
29,8730000000000000,27,7041283477183000
30,2410000000000000,28,5528523369277560
27,7920000000000000,28,5211062151062080
27,8680000000000000,29,2837150914945070
28,5420000000000000,30,1299183036958420
29,1690000000000000,29,8286723654433250
29,4140000000000000,28,0937535799127300
29,3540000000000000,28,9424775691221750
24,5130000000000000,26,7290801759892250
25,0130000000000000,27,4916890523775060
25,3960000000000000,28,3378922645788500
25,7570000000000000,28,0366463263263300
26,1450000000000000,26,3017275407957460
26,2930000000000100,27,1504515300051960
25,5010000000000000,27,4747580243877150
25,8520000000000000,28,2373669007760170
25,8300000000000000,29,0835701129773550
26,5560000000000000,28,7823241747248300
26,5580000000000030,27,0474053891942460
26,5860000000000000,27,8961293784036750
28,1050000000000000,28,6491911490913370
28,5690000000000100,29,4118000254796430
28,6680000000000100,30,2580032376809800
29,2580000000000100,29,9567572994284600
29,3720000000000000,28,2218385138978650
29,7250000000000000,29,0705625031073250
28,6640000000000000,29,0476619261708040
29,0190000000000000,29,8102708025590960
29,4180000000000100,30,6564740147604300
29,9420000000000000,30,3552280765079270
30,0330000000000000,28,6203092909773200
30,3460000000000000,29,4690332801867750
28,8480000000000100,29,0377209794726240
29,1190000000000000,29,8003298558609000
29,4180000000000100,30,6465330680622400
30,0460000000000000,30,3452871298097300
30,2480000000000000,28,6103683442791300
30,5710000000000000,29,4590923334885840
28,4420000000000000,28,6186442121277600
29,3560000000000000,29,3812530885160330
29,4350000000000000,30,2274563007173850
30,1890000000000000,29,9262103624648600
30,5420000000000000,28,1912915769342650
30,8690000000000000,29,0400155661437200
28,4970000000000000,28,9011775275548700
28,7080000000000000,29,6637864039431630
29,3540000000000000,30,5099896161444980
29,6060000000000000,30,2087436778919840
29,7570000000000000,28,4738248923613800
30,0570000000000000,29,3225488815708250
26,1630000000000000,27,3621823898194500
26,2460000000000000,28,1247912662077230
26,7110000000000000,28,9709944784090750
27,3840000000000000,28,6697485401565540
27,4550000000000000,26,9348297546259550
27,5450000000000000,27,7835537438353980
26,3460000000000000,28,2768974793898560
26,5840000000000000,29,0395063557781400
26,9380000000000000,29,8857095679794970
27,1720000000000000,29,5844636297269760
27,3560000000000000,27,8495448441963800
